N,t
100000,0.002082
200000,0.003836
300000,0.005974
400000,0.007805
500000,0.009717
600000,0.011635
700000,0.013598
800000,0.015632
900000,0.017566
1000000,0.019551
1100000,0.021483
1200000,0.023487
1300000,0.025561
1400000,0.027602
1500000,0.029446
1600000,0.031342
1700000,0.033362
1800000,0.035232
1900000,0.037344
2000000,0.039087
2100000,0.041927
2200000,0.04347
2300000,0.045597
2400000,0.047754
2500000,0.049511
2600000,0.051915
2700000,0.053307
2800000,0.054324
2900000,0.056528
3000000,0.059479
3100000,0.0607
3200000,0.063347
3300000,0.065504
3400000,0.067315
3500000,0.068027
3600000,0.070469
3700000,0.073136
3800000,0.075333
3900000,0.076394
4000000,0.079538
4100000,0.080433
4200000,0.082269
4300000,0.085071
4400000,0.086885
4500000,0.08752
4600000,0.091308
4700000,0.094434
4800000,0.097552
4900000,0.097907
5000000,0.100579
5100000,0.102838
5200000,0.103639
5300000,0.105377
5400000,0.105865
5500000,0.106903
5600000,0.107737
5700000,0.10954
5800000,0.112272
5900000,0.117746
6000000,0.117721
6100000,0.119183
6200000,0.121731
6300000,0.124431
6400000,0.123947
6500000,0.125138
6600000,0.131223
6700000,0.125714
6800000,0.132027
6900000,0.134958
7000000,0.132968
7100000,0.135887
7200000,0.135672
7300000,0.139207
7400000,0.143644
7500000,0.142695
7600000,0.145538
7700000,0.14488
7800000,0.157887
7900000,0.148669
8000000,0.150964
8100000,0.152063
8200000,0.162461
8300000,0.157487
8400000,0.159724
8500000,0.162713
8600000,0.163488
8700000,0.164797
8800000,0.167163
8900000,0.171751
9000000,0.173679
9100000,0.17326
9200000,0.174622
9300000,0.177486
9400000,0.179868
9500000,0.180317
9600000,0.182603
9700000,0.184411
9800000,0.188678
9900000,0.186683
10000000,0.190831
10100000,0.201141
10200000,0.195608
10300000,0.193751
10400000,0.202004
10500000,0.199868
10600000,0.199735
10700000,0.205149
10800000,0.206636
10900000,0.206017
11000000,0.213956
11100000,0.214476
11200000,0.220979
11300000,0.224442
11400000,0.234539
11500000,0.229777
11600000,0.230853
11700000,0.228154
11800000,0.234301
11900000,0.241508
12000000,0.235344
12100000,0.237727
12200000,0.235985
12300000,0.234741
12400000,0.240436
12500000,0.245894
12600000,0.246222
12700000,0.244797
12800000,0.253401
12900000,0.247718
13000000,0.249316
13100000,0.259392
13200000,0.25572
13300000,0.256292
13400000,0.261331
